股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
300988,津荣天宇,20.48,-1.54,-1841228.0,-8.61,0.0,0.0,-1841228.0,-8.61,-4220788.0,-19.73,6062017.0,28.34
301326,捷邦科技,36.32,1.77,-1841431.0,-12.33,0.0,0.0,-1841431.0,-12.33,125707.0,0.84,1715723.0,11.49
601177,杭齿前进,10.67,-2.02,-1841919.0,-10.03,-255812.0,-1.39,-1586107.0,-8.64,1142033.0,6.22,699886.0,3.81
000056,皇庭国际,3.77,-1.57,-1844841.0,-14.34,0.0,0.0,-1844841.0,-14.34,819016.0,6.37,1025825.0,7.98
688273,麦澜德,41.81,-1.65,-1844883.0,-5.65,-271254.0,-0.83,-1573629.0,-4.82,5173591.0,15.84,-3328708.0,-10.19
002584,西陇科学,5.42,-0.91,-1847749.0,-12.12,0.0,0.0,-1847749.0,-12.12,-1836839.0,-12.05,3684588.0,24.17
600301,南化股份,16.96,1.13,-1848664.0,-8.81,-2524334.0,-12.04,675670.0,3.22,607422.0,2.9,1241242.0,5.92
000779,甘咨询,10.46,-4.04,-1850426.0,-3.73,1047000.0,2.11,-2897426.0,-5.85,-1440159.0,-2.91,3290585.0,6.64
603010,万盛股份,11.35,-0.35,-1850694.0,-22.49,-242747.0,-2.95,-1607947.0,-19.54,-353007.0,-4.29,2203702.0,26.77
300946,恒而达,32.18,-3.13,-1851334.0,-7.94,0.0,0.0,-1851334.0,-7.94,-189803.0,-0.81,2041138.0,8.75
301398,星源卓镁,34.28,-2.72,-1852249.0,-8.96,0.0,0.0,-1852249.0,-8.96,-440871.0,-2.13,2293120.0,11.09
301200,大族数控,40.45,0.95,-1853207.0,-9.81,0.0,0.0,-1853207.0,-9.81,974549.0,5.16,878659.0,4.65
002361,神剑股份,4.02,-0.25,-1855901.0,-16.57,-1081096.0,-9.65,-774805.0,-6.92,396049.0,3.54,1459852.0,13.04
603839,安正时尚,7.65,-2.92,-1859248.0,-7.8,785513.0,3.3,-2644761.0,-11.09,131810.0,0.55,1727439.0,7.25
300187,永清环保,5.86,-1.68,-1862518.0,-15.76,-1177236.0,-9.96,-685282.0,-5.8,619934.0,5.25,1242585.0,10.51
300471,厚普股份,13.19,-1.35,-1864090.0,-6.21,0.0,0.0,-1864090.0,-6.21,-2501201.0,-8.33,4365293.0,14.53
605255,天普股份,15.19,0.33,-1865357.0,-21.67,-765165.0,-8.89,-1100192.0,-12.78,-561367.0,-6.52,2426724.0,28.19
300756,金马游乐,18.35,0.0,-1867251.0,-5.4,-146871.0,-0.42,-1720380.0,-4.97,2411046.0,6.97,-543795.0,-1.57
300831,派瑞股份,13.55,-0.44,-1867643.0,-6.58,0.0,0.0,-1867643.0,-6.58,2824684.0,9.95,-957041.0,-3.37
300669,沪宁股份,13.63,0.89,-1868156.0,-5.85,92480.0,0.29,-1960636.0,-6.14,-2798651.0,-8.77,4666807.0,14.62
688656,浩欧博,38.33,4.87,-1870992.0,-12.11,0.0,0.0,-1870992.0,-12.11,733810.0,4.75,1137183.0,7.36
605268,王力安防,9.7,0.21,-1874391.0,-14.11,-1001240.0,-7.53,-873151.0,-6.57,1185091.0,8.92,689300.0,5.19
002043,兔 宝 宝,9.79,-1.11,-1877815.0,-5.14,-1494975.0,-4.09,-382840.0,-1.05,-7442870.0,-20.37,9320686.0,25.51
002073,软控股份,6.08,-0.65,-1884351.0,-7.24,-1216000.0,-4.67,-668351.0,-2.57,1971782.0,7.58,-87431.0,-0.34
300521,爱司凯,13.31,-1.77,-1888049.0,-21.65,0.0,0.0,-1888049.0,-21.65,2238786.0,25.68,-350736.0,-4.02
301098,金埔园林,11.76,-3.13,-1888351.0,-4.88,71040.0,0.18,-1959391.0,-5.06,-4211085.0,-10.88,6099438.0,15.76
688275,万润新能,145.02,-0.64,-1900992.0,-13.7,-416705.0,-3.0,-1484287.0,-10.69,934643.0,6.73,966349.0,6.96
600127,金健米业,7.06,0.71,-1901928.0,-10.24,-29012.0,-0.16,-1872916.0,-10.08,548977.0,2.96,1352952.0,7.29
300067,安诺其,2.92,-1.35,-1903356.0,-24.55,0.0,0.0,-1903356.0,-24.55,527414.0,6.8,1375942.0,17.75
300265,通光线缆,9.85,-0.61,-1904890.0,-9.96,-1589128.0,-8.31,-315762.0,-1.65,-460320.0,-2.41,2365210.0,12.37
601311,骆驼股份,9.15,-0.97,-1911762.0,-6.5,-271161.0,-0.92,-1640601.0,-5.58,-1259819.0,-4.28,3171580.0,10.78
000005,ST星源,1.12,-5.08,-1913520.0,-50.06,-1212064.0,-31.71,-701456.0,-18.35,910672.0,23.82,1002848.0,26.23
300267,尔康制药,3.34,0.0,-1913582.0,-8.15,0.0,0.0,-1913582.0,-8.15,1278832.0,5.45,634750.0,2.7
601577,长沙银行,8.11,1.12,-1913909.0,-6.1,1142028.0,3.64,-3055937.0,-9.74,-2057588.0,-6.56,3971498.0,12.66
000488,晨鸣纸业,4.86,0.21,-1915351.0,-15.56,0.0,0.0,-1915351.0,-15.56,70812.0,0.58,1844539.0,14.99
300311,任子行,6.01,-0.33,-1916750.0,-4.85,-1050960.0,-2.66,-865790.0,-2.19,-1085241.0,-2.74,3001991.0,7.59
688026,洁特生物,19.4,-1.47,-1916880.0,-30.97,-18739.0,-0.3,-1898141.0,-30.67,396977.0,6.41,1519904.0,24.56
001696,宗申动力,6.63,-1.49,-1919081.0,-9.38,-1053360.0,-5.15,-865721.0,-4.23,-115493.0,-0.56,2034574.0,9.94
300272,开能健康,5.26,-1.13,-1922056.0,-14.78,-1247622.0,-9.59,-674434.0,-5.19,2529243.0,19.45,-607187.0,-4.67
600633,浙数文化,12.54,2.53,-1924849.0,-0.74,-12111106.0,-4.66,10186257.0,3.92,6727628.0,2.59,-4802779.0,-1.85
300884,狄耐克,14.39,1.05,-1925922.0,-3.53,0.0,0.0,-1925922.0,-3.53,-941345.0,-1.73,2867267.0,5.26
000761,本钢板材,4.07,1.24,-1925973.0,-10.16,0.0,0.0,-1925973.0,-10.16,951295.0,5.02,974678.0,5.14
300606,金太阳,15.74,-3.08,-1929879.0,-6.15,296590.0,0.95,-2226469.0,-7.09,2423021.0,7.72,-493141.0,-1.57
300175,朗源股份,3.34,-2.34,-1937401.0,-16.68,0.0,0.0,-1937401.0,-16.68,-438944.0,-3.78,2376345.0,20.46
688080,映翰通,64.07,1.55,-1941690.0,-7.59,-166526.0,-0.65,-1775164.0,-6.94,1579619.0,6.17,362071.0,1.42
002250,联化科技,10.92,-2.41,-1942961.0,-3.29,2902400.0,4.91,-4845361.0,-8.2,-33888.0,-0.06,1976849.0,3.35
601992,金隅集团,2.19,-1.35,-1943165.0,-5.4,-2181132.0,-6.07,237967.0,0.66,4629771.0,12.88,-2686605.0,-7.47
301290,东星医疗,32.77,-1.59,-1943440.0,-15.05,-1175608.0,-9.1,-767832.0,-5.95,-353545.0,-2.74,2296985.0,17.79
001203,大中矿业,11.56,0.09,-1947241.0,-12.17,-244650.0,-1.53,-1702591.0,-10.64,79069.0,0.49,1868172.0,11.68
600386,北巴传媒,4.1,0.0,-1947245.0,-5.08,-2805038.0,-7.32,857793.0,2.24,-44232.0,-0.12,1991478.0,5.19
000012,南  玻Ａ,6.15,-0.65,-1953468.0,-6.2,-497039.0,-1.58,-1456429.0,-4.62,-6561180.0,-20.81,8514648.0,27.01
600126,杭钢股份,4.53,0.0,-1955417.0,-9.9,-272115.0,-1.38,-1683302.0,-8.52,-1190841.0,-6.03,3146259.0,15.93
603060,国检集团,12.05,-1.07,-1955457.0,-14.36,-71155.0,-0.52,-1884302.0,-13.84,960127.0,7.05,995331.0,7.31
002458,益生股份,13.64,-0.94,-1958376.0,-3.26,-627665.0,-1.05,-1330711.0,-2.22,-1490106.0,-2.48,3448483.0,5.75
600665,天地源,3.46,-2.26,-1960351.0,-8.95,-340660.0,-1.55,-1619691.0,-7.39,3134870.0,14.31,-1174519.0,-5.36
600662,外服控股,6.02,-1.47,-1960482.0,-10.35,222437.0,1.17,-2182919.0,-11.52,2614620.0,13.8,-654138.0,-3.45
301053,远信工业,25.64,-7.5,-1965728.0,-2.66,100335.0,0.14,-2066063.0,-2.8,-647203.0,-0.88,2612932.0,3.54
002242,九阳股份,15.41,-1.72,-1967776.0,-5.61,87552.0,0.25,-2055328.0,-5.86,4157388.0,11.84,-2189611.0,-6.24
600104,上汽集团,13.38,1.36,-1973061.0,-1.02,1689868.0,0.88,-3662929.0,-1.9,2748960.0,1.43,-775899.0,-0.4
300061,旗天科技,6.42,0.63,-1974083.0,-7.56,1089920.0,4.17,-3064003.0,-11.73,1676026.0,6.42,298058.0,1.14
301080,百普赛斯,94.89,-0.7,-1974095.0,-12.3,0.0,0.0,-1974095.0,-12.3,-219047.0,-1.36,2193142.0,13.66
002110,三钢闽光,4.47,1.59,-1974519.0,-8.96,0.0,0.0,-1974519.0,-8.96,-402666.0,-1.83,2377184.0,10.79
600734,ST实达,4.1,1.49,-1974617.0,-11.77,-269360.0,-1.61,-1705257.0,-10.17,1638127.0,9.77,336490.0,2.01
002849,威星智能,19.81,-0.25,-1977137.0,-11.78,0.0,0.0,-1977137.0,-11.78,1783933.0,10.63,193204.0,1.15
