股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
688536,思瑞浦,90.05,-1.71,371969.0,0.28,-1544299.0,-1.16,1916268.0,1.44,4010209.0,3.0,-4382179.0,-3.28
600239,云南城投,2.08,1.46,369503.0,0.6,-1816682.0,-2.94,2186185.0,3.53,718982.0,1.16,-1088485.0,-1.76
301338,凯格精机,28.22,-3.82,366480.0,0.91,1902743.0,4.73,-1536263.0,-3.82,-2025437.0,-5.03,1658957.0,4.12
300901,中胤时尚,7.45,-1.84,366003.0,2.9,0.0,0.0,366003.0,2.9,-391606.0,-3.1,25603.0,0.2
002144,宏达高科,9.44,-0.63,362255.0,1.99,0.0,0.0,362255.0,1.99,955682.0,5.24,-1317937.0,-7.22
000607,华媒控股,3.89,-1.52,361866.0,1.01,0.0,0.0,361866.0,1.01,5306442.0,14.87,-5668308.0,-15.89
300961,深水海纳,8.95,-1.76,361628.0,2.79,0.0,0.0,361628.0,2.79,-1497808.0,-11.55,1136180.0,8.76
688653,康希通信,11.1,-3.39,360013.0,1.89,93698.0,0.49,266315.0,1.4,-156522.0,-0.82,-203492.0,-1.07
603700,宁水集团,11.27,-0.88,359719.0,1.79,54207.0,0.27,305512.0,1.52,3176814.0,15.82,-3536533.0,-17.61
688767,博拓生物,30.92,0.16,358896.0,1.88,14992.0,0.08,343904.0,1.8,-798801.0,-4.19,439905.0,2.31
688670,金迪克,18.3,-2.35,354778.0,3.42,-1091104.0,-10.51,1445882.0,13.92,645342.0,6.22,-1000119.0,-9.63
002859,洁美科技,20.66,-1.48,354520.0,0.51,2086944.0,3.01,-1732424.0,-2.5,7778107.0,11.23,-8132626.0,-11.75
300329,海伦钢琴,4.62,-2.74,354109.0,2.27,0.0,0.0,354109.0,2.27,-732019.0,-4.69,377910.0,2.42
003008,开普检测,22.21,-0.67,351549.0,2.7,0.0,0.0,351549.0,2.7,913105.0,7.02,-1264654.0,-9.72
605016,百龙创园,29.02,1.26,349817.0,0.48,-1818248.0,-2.52,2168065.0,3.0,122214.0,0.17,-472031.0,-0.65
688125,安达智能,29.33,-0.54,346802.0,3.21,0.0,0.0,346802.0,3.21,1521565.0,14.07,-1868368.0,-17.28
688646,逸飞激光,30.82,-2.68,346608.0,2.0,0.0,0.0,346608.0,2.0,-211624.0,-1.22,-134984.0,-0.78
000530,冰山冷热,4.22,-0.71,345756.0,0.87,-712755.0,-1.79,1058511.0,2.65,-303525.0,-0.76,-42231.0,-0.11
688381,帝奥微,18.94,-2.17,342101.0,1.18,0.0,0.0,342101.0,1.18,2235133.0,7.69,-2577235.0,-8.87
688316,青云科技-U,37.6,-1.98,339161.0,1.44,0.0,0.0,339161.0,1.44,371767.0,1.58,-710929.0,-3.03
603048,浙江黎明,15.6,-2.01,334419.0,0.92,-103953.0,-0.29,438372.0,1.2,-2639786.0,-7.25,2305367.0,6.33
002012,凯恩股份,4.08,-1.92,333358.0,1.2,0.0,0.0,333358.0,1.2,-802245.0,-2.89,468887.0,1.69
002265,建设工业,10.48,-1.04,332083.0,1.27,0.0,0.0,332083.0,1.27,-915824.0,-3.5,583741.0,2.23
603895,天永智能,19.0,-3.11,329505.0,1.59,854149.0,4.12,-524644.0,-2.53,-2245418.0,-10.83,1915913.0,9.24
002872,ST天圣,4.18,-1.88,329403.0,7.61,0.0,0.0,329403.0,7.61,-992546.0,-22.92,663144.0,15.31
600968,海油发展,4.19,0.48,325686.0,0.18,-5279142.0,-2.94,5604828.0,3.12,-3154299.0,-1.75,2828613.0,1.57
300575,中旗股份,6.55,2.83,323457.0,0.3,137094.0,0.13,186363.0,0.17,4769541.0,4.46,-5092998.0,-4.77
600778,友好集团,4.52,-0.44,321070.0,3.12,-102415.0,-1.0,423485.0,4.12,178110.0,1.73,-499180.0,-4.85
300817,双飞集团,12.32,-1.83,319973.0,1.38,218766.0,0.94,101207.0,0.44,-254007.0,-1.1,-65966.0,-0.28
301066,万事利,10.33,-1.99,314097.0,1.82,0.0,0.0,314097.0,1.82,-765573.0,-4.44,451476.0,2.62
301208,中亦科技,29.43,-1.74,311151.0,0.98,0.0,0.0,311151.0,0.98,1746152.0,5.52,-2057304.0,-6.5
001231,农心科技,17.02,-1.33,310541.0,3.03,0.0,0.0,310541.0,3.03,-979222.0,-9.55,668681.0,6.52
601999,出版传媒,5.9,-1.67,305338.0,0.85,87300.0,0.24,218038.0,0.61,2849972.0,7.97,-3155311.0,-8.82
301135,瑞德智能,19.86,-1.68,301240.0,1.41,0.0,0.0,301240.0,1.41,-681553.0,-3.2,380313.0,1.78
688336,三生国健,24.35,-0.29,300330.0,0.49,761994.0,1.25,-461664.0,-0.76,5239753.0,8.62,-5540083.0,-9.12
301379,天山电子,24.37,-2.05,296887.0,0.65,-39029.0,-0.09,335916.0,0.74,-3723029.0,-8.15,3426142.0,7.5
688011,新光光电,16.38,-1.62,294440.0,2.34,0.0,0.0,294440.0,2.34,-2290725.0,-18.18,1996285.0,15.84
000626,远大控股,5.65,-1.57,291460.0,1.53,0.0,0.0,291460.0,1.53,-1665129.0,-8.74,1373669.0,7.21
200869,张  裕Ｂ,9.38,1.08,282355.0,7.08,0.0,0.0,282355.0,7.08,847776.0,21.27,-1130131.0,-28.36
